id,filepath,filename,extension,frontmatter_status,frontmatter
72,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\RemNote (Movimento),RemNote (Movimento),,,
73,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Sem movimento específico (Movimento),Sem movimento específico (Movimento),,,
74,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Spreadsheets (Movimento),Spreadsheets (Movimento),,,
75,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Tratamentos de Saúde Mental (Movimento),Tratamentos de Saúde Mental (Movimento),,,
76,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Viagens (Movimento),Viagens (Movimento),,,
77,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\60 - Áreas\60 - Áreas.md,60 - Áreas,.md,FrontmatterStatus.VALID,"{'aliases': ['Áreas'], 'categorias': ['[[Braços do Vault (Categoria)]]'], 'modified': '2026-03-20 23:07:39', 'created': '2026-03-09 13:28:21'}"
78,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\60 - Áreas\Percepção Pessoal (Área),Percepção Pessoal (Área),,,
79,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\60 - Áreas\Saúde (Área),Saúde (Área),,,
80,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\60 - Áreas\Sem área específica (Área),Sem área específica (Área),,,
81,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\60 - Áreas\Sentimentos (Área),Sentimentos (Área),,,
82,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\60 - Áreas\Sociedade (Área),Sociedade (Área),,,
83,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\Controle de Versão do Vault - Git\Comando para abrir no Vscode.md,Comando para abrir no Vscode,.md,FrontmatterStatus.VALID,"{'created': '2026-02-09 20:48:10', 'modified': '2026-02-12 17:32:29', 'status': ['[[Completa]]']}"
84,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\Controle de Versão do Vault - Git\Controle de Versão do Vault - Git.md,Controle de Versão do Vault - Git,.md,FrontmatterStatus.VALID,"{'tags': ['sem_status/false'], 'created': '2026-03-09 20:16:58', 'modified': '2026-03-09 20:17:20'}"
85,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\advanced-canvas,advanced-canvas,,,
86,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\advanced-progress-bars,advanced-progress-bars,,,
87,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\attachment-management,attachment-management,,,
88,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\auto-card-link,auto-card-link,,,
89,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\auto-note-mover,auto-note-mover,,,
90,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\calendar,calendar,,,
91,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\callout-manager,callout-manager,,,
92,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\callout-suggestions,callout-suggestions,,,
93,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\cmdr,cmdr,,,
94,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\colored-tags-wrangler,colored-tags-wrangler,,,
95,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\darlal-switcher-plus,darlal-switcher-plus,,,
96,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\data-cards,data-cards,,,
97,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\dataview,dataview,,,
98,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\editor-width-slider,editor-width-slider,,,
99,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\enhanced-symbols-prettifier,enhanced-symbols-prettifier,,,
100,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\extended-graph,extended-graph,,,
101,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\find-unlinked-files,find-unlinked-files,,,
102,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\folder-notes,folder-notes,,,
103,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\front-matter-timestamps,front-matter-timestamps,,,
104,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\graph-banner,graph-banner,,,
105,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\header-enhancer,header-enhancer,,,
106,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\heading-level-indent,heading-level-indent,,,
107,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\homepage,homepage,,,
108,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\image-converter,image-converter,,,
109,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\js-engine,js-engine,,,
110,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\lazy-plugins,lazy-plugins,,,
111,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\meld-encrypt,meld-encrypt,,,
112,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\nldates-obsidian,nldates-obsidian,,,
113,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\note-toolbar,note-toolbar,,,
114,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\notes-explorer,notes-explorer,,,
115,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obisidian-note-linker,obisidian-note-linker,,,
116,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-columns,obsidian-columns,,,
117,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-copy-block-link,obsidian-copy-block-link,,,
118,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-emoji-toolbar,obsidian-emoji-toolbar,,,
119,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-meta-bind-plugin,obsidian-meta-bind-plugin,,,
120,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-minimal-settings,obsidian-minimal-settings,,,
121,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-outliner,obsidian-outliner,,,
122,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-shellcommands,obsidian-shellcommands,,,
123,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-style-settings,obsidian-style-settings,,,
124,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-tasks-plugin,obsidian-tasks-plugin,,,
125,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\obsidian-trash-explorer,obsidian-trash-explorer,,,
126,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\omnisearch,omnisearch,,,
127,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\oz-clear-unused-images,oz-clear-unused-images,,,
128,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\password-protection,password-protection,,,
129,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\peekaboo,peekaboo,,,
130,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\periodic-notes,periodic-notes,,,
131,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\persistent-links,persistent-links,,,
132,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\phrasesync,phrasesync,,,
133,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\quickadd,quickadd,,,
134,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\rich-foot,rich-foot,,,
135,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\settings-management,settings-management,,,
